start_idx,end_idx,start_month,dtw_to_mean,dtw_to_median,dtw_to_prev
347,358,2010-12-01,3.4587038683765354,3.4819929680951267,0.8603147238505259
348,359,2011-01-01,3.460276679602692,3.4802502481382653,0.917780639258909
349,360,2011-02-01,3.465275308189308,3.4689556858346196,1.3325360119208536
350,361,2011-03-01,3.457401821041819,3.448285863410875,0.8154273520831001
351,362,2011-04-01,3.467530331783355,3.438456284523752,1.2285099837434763
352,363,2011-05-01,3.465167985172565,3.4255760781703044,1.3152744326483903
353,364,2011-06-01,3.465326907132004,3.4337808118906907,0.9920952754579894
354,365,2011-07-01,3.459601729309741,3.440995589464374,0.748569431587967
355,366,2011-08-01,3.460915602127882,3.4709827420709676,1.7084348557184732
356,367,2011-09-01,3.4513794028119023,3.4872499983144762,0.37721676807715904
357,368,2011-10-01,3.433427518680112,3.4715221163342096,0.8566954895915039
358,369,2011-11-01,3.424440120400513,3.478741422917157,0.5823444639855891
359,370,2011-12-01,3.441528249711156,3.480409859015739,1.3073951053415882
360,371,2012-01-01,3.457070118953407,3.485550556391677,0.7276254768648075
361,372,2012-02-01,3.457051564251572,3.4709264154407458,0.9858140582022367
362,373,2012-03-01,3.465308971623876,3.468528127581733,0.9318507639804934
363,374,2012-04-01,3.4484470825757003,3.4390885675581795,2.894644783635362
364,375,2012-05-01,3.45655072111263,3.4303284038788218,0.9279862037466418
365,376,2012-06-01,3.452745979829253,3.437847892716759,0.7679695275737182
366,377,2012-07-01,3.428833728639585,3.4298499005276173,1.912716402021926
367,378,2012-08-01,3.4333735261922826,3.437387034327955,1.761971779218936
368,379,2012-09-01,3.4361331455148476,3.454896910370964,0.1438389904456122
369,380,2012-10-01,3.4482312847563037,3.4716345059516205,0.6010212783550574
370,381,2012-11-01,3.423651331275095,3.458454206263271,0.9107651110783778
371,382,2012-12-01,3.434868626528844,3.4547521825150533,1.0384319976892489
372,383,2013-01-01,3.4554242625732696,3.4651205955889433,1.0109191650970653
